RespondentNr,StimulusNr,timestamp ms,Gaze x %,Gaze y %
11,0,22370,0.199,0.394
11,0,22403,0.18,0.395
11,0,22435,0.17,0.396
11,0,22470,0.167,0.401
11,0,22503,0.17,0.41
11,0,22537,0.185,0.43
11,0,22569,0.195,0.441
11,0,22603,0.212,0.447
11,0,22637,0.237,0.455
11,0,22670,0.149,0.437
11,0,22703,0.121,0.446
11,0,22736,0.125,0.415
11,0,22770,0.122,0.415
11,0,22803,0.114,0.417
11,0,22836,0.111,0.418
11,0,22870,0.125,0.426
11,0,22902,0.13,0.437
11,0,22936,0.142,0.454
11,0,22969,0.167,0.475
11,0,23004,0.146,0.472
11,0,23037,0.155,0.466
11,0,23070,0.158,0.472
11,0,23104,0.145,0.48
11,0,23136,0.137,0.489
11,0,23169,0.128,0.492
11,0,23203,0.131,0.503
11,0,23237,0.338,0.813
11,0,25269,0.719,1.025
11,0,25302,0.731,1.024
11,0,25337,0.74,1.018
11,0,25369,0.741,1.001
11,0,25404,0.738,1.001
11,0,25435,0.74,1.001
11,0,25470,0.956,1.02
11,0,25502,0.946,1.019
11,0,25537,0.922,1.003
11,0,25570,0.885,1.003
11,0,25603,0.813,1.002
11,0,25636,0.766,1.002
11,0,25670,0.757,1.002
11,0,25703,0.75,1.0
11,0,25737,0.744,1.0
11,0,25770,0.749,0.997
11,0,25803,0.737,0.98
11,0,25836,0.751,0.971
11,0,25870,0.732,0.947
11,0,25902,0.696,0.917
11,0,25936,0.707,0.918
11,0,25970,0.686,0.92
11,0,26003,0.683,0.91
11,0,26036,0.665,0.858
11,0,26070,0.585,0.836
11,0,26103,0.592,0.817
11,0,26137,0.59,0.81
11,0,26170,0.935,0.807
11,0,26203,0.84,0.799
11,0,26237,0.733,0.74
11,0,26270,0.765,0.738
11,0,26303,0.683,0.716
11,0,26337,0.657,0.691
11,0,26370,0.648,0.663
11,0,26404,0.653,0.652
11,0,26436,0.641,0.657
11,0,26470,0.569,0.631
11,0,26504,0.543,0.617
11,0,26537,0.589,0.597
11,0,26570,0.62,0.601
11,0,26604,0.616,0.604
11,0,26636,0.65,0.588
11,0,26671,0.624,0.594
11,0,26704,0.612,0.611
11,0,26738,0.591,0.594
11,0,26769,0.599,0.573
11,0,26804,0.594,0.557
11,0,26836,0.602,0.518
11,0,26870,0.519,0.431
11,0,26903,0.533,0.405
11,0,26938,0.544,0.369
11,0,26970,0.527,0.377
11,0,27005,0.525,0.33
11,0,27037,0.57,0.335
11,0,27071,0.274,0.349
11,0,27104,0.303,0.348
11,0,27137,0.317,0.344
11,0,27170,0.33,0.348
11,0,27204,0.328,0.348
11,0,27238,0.309,0.348
11,0,27270,0.306,0.339
11,0,27304,0.335,0.329
11,0,27337,0.578,0.234
11,0,27371,0.595,0.156
11,0,27404,0.647,0.078
11,0,27437,0.639,0.121
11,0,27471,0.657,0.104
11,0,27503,0.665,0.075
11,0,27536,0.675,0.08
11,0,27570,0.714,0.068
11,0,27604,0.729,0.064
11,0,27638,0.768,0.051
11,0,27671,0.834,0.042
11,0,27704,0.793,0.087
11,0,27737,0.783,0.108
11,0,27770,0.776,0.133
11,0,27804,0.781,0.15
11,0,27837,0.767,0.214
11,0,27870,0.773,0.225
11,0,27903,0.782,0.243
11,0,27937,0.784,0.263
11,0,27971,0.802,0.296
11,0,28003,0.819,0.314
11,0,28037,0.821,0.324
11,0,28070,0.831,0.329
11,0,28105,0.842,0.344
11,0,28137,0.858,0.355
11,0,28171,0.859,0.356
11,0,28204,0.857,0.355
11,0,28238,0.857,0.352
11,0,28270,0.854,0.35
11,0,28303,0.851,0.343
11,0,28337,0.852,0.33
11,0,28371,0.857,0.324
11,0,28404,0.868,0.316
11,0,28437,0.878,0.305
11,0,28471,0.893,0.293
11,0,28504,0.904,0.269
11,0,28537,0.934,0.219
11,0,28571,0.97,0.194
11,0,28603,0.969,0.186
11,0,28638,0.964,0.181
11,0,28686,0.951,0.178
11,0,28720,0.914,0.188
11,0,28753,0.62,0.24
11,0,28788,0.43,0.335
